INSERTION,DELETION,SUM,SUBTRACT
3,1,4,2
1,1,2,0
1,1,2,0
1,1,2,0
9,9,18,0
2,2,4,0
1,1,2,0
1,1,2,0
11,9,20,2
7,16,23,-9
20,1,21,19
4,2,6,2
1,1,2,0
2,6,8,-4
24,3,27,21
5,3,8,2
2,2,4,0
10,9,19,1
3,2,5,1
2,2,4,0
1,1,2,0
3,3,6,0
1,3,4,-2
5,0,5,5
10,0,10,10
5,0,5,5
10,0,10,10
8,92,100,-84
5,82,87,-77
95,0,95,95
2,0,2,2
22,8,30,14
3,5,8,-2
2,2,4,0
18,2,20,16
4,19,23,-15
2,10,12,-8
5,74,79,-69
3,72,75,-69
95,0,95,95
12,4,16,8
1,7,8,-6
8,4,12,4
7,7,14,0
1,13,14,-12
2,4,6,-2
0,0,0,0
1,1,2,0
19,3,22,16
17,1,18,16
9,0,9,9
1,1,2,0
3,4,7,-1
1,7,8,-6
8,4,12,4
7,7,14,0
1,2,3,-1
1,13,14,-12
1,2,3,-1
0,0,0,0
1,1,2,0
19,3,22,16
17,1,18,16
1,1,2,0
2,2,4,0
6,4,10,2
4,4,8,0
9,7,16,2
1,0,1,1
1,1,2,0
11,11,22,0
24,0,24,24
4,4,8,0
7,9,16,-2
0,4,4,-4
0,4,4,-4
0,4,4,-4
0,5,5,-5
0,4,4,-4
0,4,4,-4
8,0,8,8
1,1,2,0
2,2,4,0
2,2,4,0
7,0,7,7
4,3,7,1
0,57,57,-57
78,0,78,78
2,2,4,0
5,3,8,2
13,0,13,13
5,1,6,4
6,2,8,4
0,1,1,-1
2,2,4,0
2,2,4,0
2,2,4,0
2,2,4,0
9,6,15,3
2,2,4,0
2,2,4,0
1,1,2,0
5,3,8,2
4,3,7,1
2,1,3,1
0,0,0,0
1,2,3,-1
3,3,6,0
8,9,17,-1
7,12,19,-5
6,1,7,5
4,6,10,-2
5,0,5,5
6,16,22,-10
91,0,91,91
2,68,70,-66
70,0,70,70
1,1,2,0
17,16,33,1
1,1,2,0
1,1,2,0
0,1,1,-1
4,0,4,4
1,0,1,1
6,1,7,5
15,0,15,15
6,4,10,2
1,1,2,0
1,1,2,0
1,1,2,0
