INSERTION,DELETION,SUM,SUBTRACT
1,1,2,0
15,1,16,14
3,1,4,2
3,3,6,0
2,1,3,1
20,0,20,20
1,1,2,0
8,0,8,8
2,0,2,2
2,1,3,1
147,65,212,82
4,0,4,4
19,12,31,7
80,2,82,78
9,0,9,9
9,0,9,9
5,2,7,3
13,0,13,13
10,4,14,6
128,20,148,108
176,0,176,176
47,0,47,47
14,0,14,14
1,0,1,1
14,0,14,14
14,0,14,14
8,13,21,-5
26,1,27,25
31,26,57,5
120,14,134,106
1,0,1,1
1,0,1,1
22,10,32,12
38,10,48,28
13,2,15,11
15,1,16,14
2,13,15,-11
1,0,1,1
2,0,2,2
3,0,3,3
4,0,4,4
72,0,72,72
3,1,4,2
88,91,179,-3
4,4,8,0
4,4,8,0
8,8,16,0
1,1,2,0
0,1,1,-1
1,2,3,-1
0,13,13,-13
0,3,3,-3
0,16,16,-16
0,2,2,-2
3,1,4,2
5,6,11,-1
4,4,8,0
94,114,208,-20
101,189,290,-88
0,8,8,-8
0,2,2,-2
0,1,1,-1
24,0,24,24
14,33,47,-19
8,13,21,-5
8,13,21,-5
26,26,52,0
25,25,50,0
5,5,10,0
46,263,309,-217
9,9,18,0
1,1,2,0
78,0,78,78
72,0,72,72
103,0,103,103
87,0,87,87
39,0,39,39
16,7,23,9
5,53,58,-48
53,0,53,53
38,0,38,38
22,5,27,17
27,15,42,12
13,9,22,4
135,0,135,135
71,0,71,71
173,0,173,173
103,3,106,100
18,19,37,-1
28,28,56,0
24,24,48,0
16,16,32,0
29,4,33,25
4,0,4,4
7,3,10,4
2,2,4,0
0,3,3,-3
165,25,190,140
9,9,18,0
10,7,17,3
1,1,2,0
81,0,81,81
5,19,24,-14
0,1,1,-1
0,1,1,-1
41,19,60,22
25,0,25,25
1,0,1,1
13,0,13,13
2,3,5,-1
0,1,1,-1
2,1,3,1
6,5,11,1
69,73,142,-4
1,1,2,0
16,19,35,-3
11,13,24,-2
1,1,2,0
14,14,28,0
2,0,2,2
3,0,3,3
0,4,4,-4
46,35,81,11
2,1,3,1
4,126,130,-122
1,0,1,1
28,28,56,0
35,1,36,34
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
3,2,5,1
11,30,41,-19
14,4,18,10
55,0,55,55
84,0,84,84
242,0,242,242
108,270,378,-162
331,0,331,331
186,0,186,186
8,1,9,7
86,42,128,44
4,4,8,0
18,18,36,0
0,70,70,-70
6,0,6,6
17,9,26,8
2,0,2,2
8,8,16,0
241,0,241,241
2,4,6,-2
0,21,21,-21
84,70,154,14
8,0,8,8
1,1,2,0
5,0,5,5
0,1,1,-1
0,3,3,-3
1,0,1,1
49,17,66,32
48,2,50,46
42,1,43,41
1,1,2,0
9,0,9,9
8,0,8,8
9,0,9,9
2,3,5,-1
2,4,6,-2
63,13,76,50
1,1,2,0
4,7,11,-3
0,2,2,-2
0,12,12,-12
2,5,7,-3
2,2,4,0
7,18,25,-11
3,0,3,3
39,58,97,-19
62,0,62,62
3,1,4,2
1,1,2,0
20,0,20,20
20,0,20,20
21,0,21,21
20,0,20,20
84,0,84,84
136,0,136,136
228,0,228,228
122,0,122,122
9,68,77,-59
6,79,85,-73
10,211,221,-201
9,107,116,-98
21,0,21,21
19,0,19,19
7,0,7,7
12,1,13,11
3,1,4,2
4,0,4,4
21,0,21,21
312,0,312,312
155,0,155,155
3,3,6,0
8,302,310,-294
9,131,140,-122
20,0,20,20
21,1,22,20
1,1,2,0
4,0,4,4
32,0,32,32
1,1,2,0
203,0,203,203
1,1,2,0
1,1,2,0
1,1,2,0
8,187,195,-179
1,1,2,0
6,0,6,6
4,1,5,3
7,0,7,7
27,2,29,25
1,1,2,0
2,1,3,1
54,0,54,54
60,3,63,57
1,1,2,0
114,37,151,77
0,124,124,-124
6,11,17,-5
1,0,1,1
14,0,14,14
92,55,147,37
8,0,8,8
1,1,2,0
1,1,2,0
120,0,120,120
154,0,154,154
156,0,156,156
7,0,7,7
1,0,1,1
7,0,7,7
1,1,2,0
41,2,43,39
5,0,5,5
5,0,5,5
31,31,62,0
56,30,86,26
61,39,100,22
176,0,176,176
1,1,2,0
33,20,53,13
0,13,13,-13
0,1,1,-1
0,11,11,-11
0,26,26,-26
0,101,101,-101
0,10,10,-10
0,70,70,-70
0,1,1,-1
0,61,61,-61
0,0,0,0
2,2,4,0
45,47,92,-2
15,0,15,15
0,20,20,-20
2,0,2,2
203,0,203,203
16,2,18,14
10,0,10,10
3,21,24,-18
2,2,4,0
4,1,5,3
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
43,7,50,36
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
16,1,17,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
0,20,20,-20
211,140,351,71
0,20,20,-20
0,20,20,-20
0,20,20,-20
19,0,19,19
77,1,78,76
15,0,15,15
15,0,15,15
24,1,25,23
0,20,20,-20
3,2,5,1
285,0,285,285
13,1,14,12
4,12,16,-8
0,20,20,-20
4,2,6,2
204,0,204,204
15,3,18,12
12,2,14,10
4,28,32,-24
539,245,784,294
16,1,17,15
38,14,52,24
1,1,2,0
164,0,164,164
150,3,153,147
6,159,165,-153
1,1,2,0
1,1,2,0
40,38,78,2
34,37,71,-3
1,1,2,0
3,4,7,-1
15,0,15,15
4,0,4,4
55,0,55,55
8,10,18,-2
44,23,67,21
16,7,23,9
1,1,2,0
31,4,35,27
25,3,28,22
1,1,2,0
11,6,17,5
2,2,4,0
19,4,23,15
15,0,15,15
15,0,15,15
15,0,15,15
16,2,18,14
20,6,26,14
24,5,29,19
1,0,1,1
39,35,74,4
5,1,6,4
64,38,102,26
1,1,2,0
2,2,4,0
277,28,305,249
25,0,25,25
36,0,36,36
40,0,40,40
45,1,46,44
2,2,4,0
8,8,16,0
1,1,2,0
30,0,30,30
3,3,6,0
4,3,7,1
2,2,4,0
76,0,76,76
1512,0,1512,1512
18,3,21,15
249,176,425,73
73,3,76,70
20,5,25,15
1132,2328,3460,-1196
16,1,17,15
47,33,80,14
1617,2960,4577,-1343
15,0,15,15
15,0,15,15
18,9,27,9
15,1,16,14
67,4,71,63
107,0,107,107
40,0,40,40
40,0,40,40
203,77,280,126
15,0,15,15
27,26,53,1
44,8,52,36
69,0,69,69
17,2,19,15
15,0,15,15
15,0,15,15
15,0,15,15
16,2,18,14
15,0,15,15
0,20,20,-20
16,1,17,15
19,1,20,18
1,2,3,-1
3,0,3,3
4,0,4,4
2,21,23,-19
0,19,19,-19
2,2,4,0
1,1,2,0
19,9,28,10
2,2,4,0
2,2,4,0
5,1,6,4
3,1,4,2
1,1,2,0
1,1,2,0
2,2,4,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
12,12,24,0
1,1,2,0
1,1,2,0
2,2,4,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
3,3,6,0
3,3,6,0
6,6,12,0
1,1,2,0
1,1,2,0
1,1,2,0
4,4,8,0
2,2,4,0
5,5,10,0
5,5,10,0
5,5,10,0
2,2,4,0
2,2,4,0
2,2,4,0
1,1,2,0
3,3,6,0
4,4,8,0
3,3,6,0
0,1,1,-1
3,3,6,0
3,3,6,0
1,1,2,0
2,2,4,0
12,12,24,0
25,25,50,0
34,32,66,2
3,3,6,0
9,9,18,0
1,1,2,0
1,1,2,0
5,2,7,3
1,1,2,0
1,1,2,0
2,2,4,0
13,0,13,13
15,0,15,15
2,0,2,2
2,0,2,2
2,0,2,2
2,0,2,2
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
4,2,6,2
2,0,2,2
4,2,6,2
4,2,6,2
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
0,0,0,0
30,20,50,10
0,13,13,-13
0,1,1,-1
0,11,11,-11
0,26,26,-26
0,101,101,-101
0,10,10,-10
0,70,70,-70
0,1,1,-1
0,61,61,-61
0,0,0,0
