INSERTION,DELETION,SUM,SUBTRACT
11,1,12,10
2,0,2,2
51,0,51,51
57,6,63,51
42,0,42,42
32,4,36,28
1,1,2,0
3,6,9,-3
9,0,9,9
32,0,32,32
19,0,19,19
7,0,7,7
27,0,27,27
9,0,9,9
12,0,12,12
1,1,2,0
2,2,4,0
1,1,2,0
1,1,2,0
2,2,4,0
5,3,8,2
2,2,4,0
958,0,958,958
2,2,4,0
0,1,1,-1
76,0,76,76
5,3,8,2
1,1,2,0
1,1,2,0
22,0,22,22
2,0,2,2
40,0,40,40
2,0,2,2
40,0,40,40
9,0,9,9
4,0,4,4
18,1,19,17
0,3,3,-3
4,0,4,4
80,0,80,80
7,6,13,1
26,0,26,26
2,2,4,0
0,1,1,-1
76,0,76,76
2,2,4,0
1,1,2,0
3,2,5,1
5,3,8,2
5,3,8,2
33,0,33,33
6,18,24,-12
29,0,29,29
27,0,27,27
4,1,5,3
10,5,15,5
4,2,6,2
61,0,61,61
3,3,6,0
1,1,2,0
1,1,2,0
1,3,4,-2
3,11,14,-8
9,3,12,6
1,0,1,1
2,2,4,0
0,2,2,-2
2,9,11,-7
5,1,6,4
4,4,8,0
58,0,58,58
46,0,46,46
66,0,66,66
30,0,30,30
36,0,36,36
1,1,2,0
3,0,3,3
1,1,2,0
1,1,2,0
3,1,4,2
2,4,6,-2
3,1,4,2
3,1,4,2
36,0,36,36
0,9,9,-9
66,0,66,66
3,1,4,2
46,0,46,46
0,2,2,-2
8,0,8,8
1,1,2,0
1,1,2,0
3,1,4,2
3,1,4,2
2,2,4,0
58,0,58,58
3,3,6,0
3,3,6,0
58,0,58,58
2,2,4,0
1,1,2,0
1,1,2,0
2,2,4,0
6,4,10,2
3,3,6,0
11,0,11,11
38,40,78,-2
40,7,47,33
1,1,2,0
1,1,2,0
1,1,2,0
5,1,6,4
44,0,44,44
11,1,12,10
1,1,2,0
1,1,2,0
37,0,37,37
1,4,5,-3
36,0,36,36
36,0,36,36
37,0,37,37
7,0,7,7
41,19,60,22
81,0,81,81
44,0,44,44
1,1,2,0
4,4,8,0
8,1,9,7
97,0,97,97
448,0,448,448
86,1,87,85
33,0,33,33
60,0,60,60
60,0,60,60
8,2,10,6
21,0,21,21
33,0,33,33
9,0,9,9
6,0,6,6
11,0,11,11
38,0,38,38
9,9,18,0
29,0,29,29
23,0,23,23
21,0,21,21
21,0,21,21
23,0,23,23
5,0,5,5
75,0,75,75
23,0,23,23
104,0,104,104
38,0,38,38
38,0,38,38
7,1,8,6
54,0,54,54
24,0,24,24
1,1,2,0
3,1,4,2
1,2,3,-1
39,0,39,39
3,3,6,0
2,2,4,0
5,2,7,3
29,0,29,29
23,0,23,23
49,0,49,49
3,3,6,0
2,2,4,0
5,2,7,3
29,0,29,29
4,4,8,0
2,2,4,0
1,1,2,0
6,3,9,3
1,1,2,0
34,0,34,34
1,1,2,0
1,1,2,0
1,6,7,-5
8,3,11,5
1,5,6,-4
38,0,38,38
0,13,13,-13
0,2,2,-2
4,4,8,0
2,2,4,0
1,1,2,0
2,1,3,1
11,0,11,11
0,18,18,-18
28,0,28,28
0,13,13,-13
0,2,2,-2
0,1,1,-1
0,1,1,-1
6,4,10,2
