INSERTION,DELETION,SUM,SUBTRACT
2,2,4,0
2,2,4,0
4,4,8,0
1,1,2,0
4,4,8,0
1,1,2,0
4,4,8,0
3,3,6,0
1,3,4,-2
2,2,4,0
2,2,4,0
2,2,4,0
4,4,8,0
3,3,6,0
4,2,6,2
5,5,10,0
3,3,6,0
3,3,6,0
2,2,4,0
4,3,7,1
2,2,4,0
3,2,5,1
2,2,4,0
3,3,6,0
3,2,5,1
9,5,14,4
9,6,15,3
2,2,4,0
2,2,4,0
5,3,8,2
2,2,4,0
3,3,6,0
3,2,5,1
2,2,4,0
2,2,4,0
2,2,4,0
2,2,4,0
2,2,4,0
2,2,4,0
2,2,4,0
2,2,4,0
2,2,4,0
12,5,17,7
2,2,4,0
2,2,4,0
19,11,30,8
2,2,4,0
3,3,6,0
2,2,4,0
6,5,11,1
4,3,7,1
5,5,10,0
5,0,5,5
139,0,139,139
0,173,173,-173
220,0,220,220
8,1,9,7
1,1,2,0
16,0,16,16
16,0,16,16
16,0,16,16
16,0,16,16
16,0,16,16
16,0,16,16
16,0,16,16
16,0,16,16
27,6,33,21
2,2,4,0
9,1,10,8
8,0,8,8
2,2,4,0
24,5,29,19
29,6,35,23
10,15,25,-5
25,0,25,25
0,41,41,-41
0,0,0,0
0,7,7,-7
0,7,7,-7
0,11,11,-11
0,32,32,-32
0,17,17,-17
0,53,53,-53
0,23,23,-23
0,20,20,-20
25,0,25,25
0,41,41,-41
0,0,0,0
0,7,7,-7
0,7,7,-7
0,11,11,-11
0,32,32,-32
0,17,17,-17
0,53,53,-53
0,23,23,-23
0,20,20,-20
7,0,7,7
7,0,7,7
7,0,7,7
7,0,7,7
7,0,7,7
7,0,7,7
7,0,7,7
7,0,7,7
37,0,37,37
7,2,9,5
3,1,4,2
18,14,32,4
8,1,9,7
1,1,2,0
13,2,15,11
11,1,12,10
1,1,2,0
13,2,15,11
11,1,12,10
2,2,4,0
1,3,4,-2
6,2,8,4
3,1,4,2
1,0,1,1
5,5,10,0
22,14,36,8
6,11,17,-5
66,0,66,66
2,1,3,1
1,1,2,0
2,0,2,2
1,2,3,-1
1,2,3,-1
1,3,4,-2
1,3,4,-2
1,2,3,-1
1,3,4,-2
1,3,4,-2
1,2,3,-1
1,2,3,-1
1,2,3,-1
0,2,2,-2
17,39,56,-22
4,6,10,-2
4,1,5,3
3,1,4,2
0,2,2,-2
17,39,56,-22
4,6,10,-2
2,5,7,-3
1,4,5,-3
1,5,6,-4
23,0,23,23
5,2,7,3
1,1,2,0
1,1,2,0
5,1,6,4
3,3,6,0
8,0,8,8
8,0,8,8
8,0,8,8
8,0,8,8
8,0,8,8
8,0,8,8
8,0,8,8
8,0,8,8
41,2,43,39
12,6,18,6
2,1,3,1
6,2,8,4
36,0,36,36
2,1,3,1
12,5,17,7
12,2,14,10
51,27,78,24
12,8,20,4
50,25,75,25
1,0,1,1
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
0,1,1,-1
1,1,2,0
58,0,58,58
1,0,1,1
23,0,23,23
6,1,7,5
19,19,38,0
1,1,2,0
19,19,38,0
1,1,2,0
2,1,3,1
4,1,5,3
16,5,21,11
58,0,58,58
1,0,1,1
23,0,23,23
2,1,3,1
5,2,7,3
4,0,4,4
8,0,8,8
17,1,18,16
1,1,2,0
6,1,7,5
8,0,8,8
1,1,2,0
67,1,68,66
3,1,4,2
19,0,19,19
2,0,2,2
1,1,2,0
1,1,2,0
1,0,1,1
4,0,4,4
26,0,26,26
41,0,41,41
1,4,5,-3
4,1,5,3
4,1,5,3
19,7,26,12
12,8,20,4
2,2,4,0
3,0,3,3
3,0,3,3
3,0,3,3
3,0,3,3
3,0,3,3
3,0,3,3
3,0,3,3
3,0,3,3
3,0,3,3
3,0,3,3
5,2,7,3
6,0,6,6
4,1,5,3
6,0,6,6
3,0,3,3
1,2,3,-1
3,0,3,3
