INSERTION,DELETION,SUM,SUBTRACT
0,1,1,-1
0,1,1,-1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,1,2,0
1,0,1,1
0,1,1,-1
5,5,10,0
1,0,1,1
0,1,1,-1
1,0,1,1
1,0,1,1
2,0,2,2
2,2,4,0
2,2,4,0
7,0,7,7
5,0,5,5
3,0,3,3
2,1,3,1
2,0,2,2
1,0,1,1
1,0,1,1
1,0,1,1
10,10,20,0
1,0,1,1
3,0,3,3
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
0,0,0,0
1,0,1,1
4,0,4,4
0,1,1,-1
2,0,2,2
1,0,1,1
9,0,9,9
9,0,9,9
2,2,4,0
7,0,7,7
9,0,9,9
1,0,1,1
1,1,2,0
4,0,4,4
3,0,3,3
2,0,2,2
1,0,1,1
1,0,1,1
2,0,2,2
1,0,1,1
1,0,1,1
1,0,1,1
3,0,3,3
3,0,3,3
2,0,2,2
20,0,20,20
2,0,2,2
7,0,7,7
4,0,4,4
3,0,3,3
10,0,10,10
1,0,1,1
9,0,9,9
1,0,1,1
1,0,1,1
4,4,8,0
0,0,0,0
0,1,1,-1
0,1,1,-1
0,0,0,0
0,0,0,0
0,0,0,0
0,1,1,-1
0,1,1,-1
0,0,0,0
0,1,1,-1
6,3,9,3
2,1,3,1
0,10,10,-10
0,0,0,0
0,0,0,0
2,1,3,1
1,0,1,1
0,1,1,-1
0,1,1,-1
0,1,1,-1
0,2,2,-2
0,1,1,-1
0,1,1,-1
2,5,7,-3
0,1,1,-1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,1,2,0
26,18,44,8
29,22,51,7
32,28,60,4
32,28,60,4
29,22,51,7
27,22,49,5
31,26,57,5
30,24,54,6
34,32,66,2
30,24,54,6
31,26,57,5
28,24,52,4
21,22,43,-1
25,26,51,-1
25,28,53,-3
33,30,63,3
34,32,66,2
15,20,35,-5
19,22,41,-3
30,18,48,12
23,26,49,-3
21,24,45,-3
30,32,62,-2
21,20,41,1
31,26,57,5
16,18,34,-2
26,24,50,2
21,20,41,1
0,1,1,-1
0,1,1,-1
1,1,2,0
1,0,1,1
0,1,1,-1
5,5,10,0
1,0,1,1
0,1,1,-1
1,0,1,1
1,0,1,1
2,0,2,2
2,2,4,0
2,2,4,0
7,0,7,7
5,0,5,5
3,0,3,3
2,1,3,1
2,0,2,2
1,0,1,1
1,0,1,1
1,0,1,1
10,10,20,0
1,0,1,1
3,0,3,3
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
4,0,4,4
0,1,1,-1
1,1,2,0
2,0,2,2
1,0,1,1
9,0,9,9
9,0,9,9
1,0,1,1
2,2,4,0
7,0,7,7
9,0,9,9
1,0,1,1
1,1,2,0
4,0,4,4
3,0,3,3
2,0,2,2
1,0,1,1
1,0,1,1
2,0,2,2
1,0,1,1
1,0,1,1
1,0,1,1
3,0,3,3
3,0,3,3
2,0,2,2
20,0,20,20
2,0,2,2
7,0,7,7
4,0,4,4
3,0,3,3
10,0,10,10
1,0,1,1
9,0,9,9
1,0,1,1
1,0,1,1
4,4,8,0
0,1,1,-1
0,1,1,-1
0,1,1,-1
0,1,1,-1
0,1,1,-1
0,1,1,-1
0,1,1,-1
1,2,3,-1
0,2,2,-2
0,2,2,-2
0,1,1,-1
0,1,1,-1
0,1,1,-1
0,2,2,-2
0,2,2,-2
0,1,1,-1
0,2,2,-2
0,2,2,-2
0,2,2,-2
0,1,1,-1
0,1,1,-1
0,1,1,-1
6,3,9,3
0,2,2,-2
2,1,3,1
0,10,10,-10
2,1,3,1
1,0,1,1
0,1,1,-1
0,1,1,-1
0,1,1,-1
0,1,1,-1
0,2,2,-2
0,1,1,-1
0,1,1,-1
4,6,10,-2
0,1,1,-1
19,0,19,19
6,0,6,6
1,0,1,1
1,1,2,0
2,2,4,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,0,1,1
24,12,36,12
1,0,1,1
24,12,36,12
2,2,4,0
2,2,4,0
2,4,6,-2
2,2,4,0
3,3,6,0
2,3,5,-1
2,2,4,0
2,3,5,-1
2,2,4,0
6,0,6,6
9,0,9,9
1,1,2,0
2,2,4,0
1,1,2,0
2,2,4,0
3,3,6,0
2,4,6,-2
2,2,4,0
3,3,6,0
2,3,5,-1
2,2,4,0
2,3,5,-1
2,2,4,0
6,0,6,6
9,0,9,9
1,1,2,0
2,2,4,0
1,1,2,0
2,2,4,0
3,3,6,0
8,16,24,-8
8,16,24,-8
1,1,2,0
2,3,5,-1
1,1,2,0
2,3,5,-1
1,1,2,0
2,2,4,0
4,4,8,0
4,4,8,0
3,3,6,0
2,2,4,0
4,4,8,0
5,5,10,0
2,2,4,0
2,2,4,0
4,4,8,0
6,6,12,0
2,2,4,0
3,3,6,0
3,3,6,0
4,0,4,4
2,2,4,0
4,4,8,0
4,5,9,-1
4,4,8,0
7,8,15,-1
2,2,4,0
19,19,38,0
38,38,76,0
6,6,12,0
4,4,8,0
3,3,6,0
4,4,8,0
4,0,4,4
2,2,4,0
2,2,4,0
2,2,4,0
2,2,4,0
5,5,10,0
2,2,4,0
2,2,4,0
2,2,4,0
2,2,4,0
3,3,6,0
3,3,6,0
3,3,6,0
5,5,10,0
2,2,4,0
2,2,4,0
3,3,6,0
10,10,20,0
5,5,10,0
3,3,6,0
2,2,4,0
2,2,4,0
2,2,4,0
5,5,10,0
2,2,4,0
3,3,6,0
5,5,10,0
3,3,6,0
2,2,4,0
3,3,6,0
3,3,6,0
4,0,4,4
3,3,6,0
3,3,6,0
2,2,4,0
21,21,42,0
2,2,4,0
2,2,4,0
14,14,28,0
4,4,8,0
4,4,8,0
2,2,4,0
21,22,43,-1
5,9,14,-4
9,9,18,0
3,3,6,0
8,8,16,0
2,2,4,0
4,4,8,0
