INSERTION,DELETION,SUM,SUBTRACT
7,1,8,6
3,3,6,0
10,2,12,8
1,1,2,0
43,0,43,43
0,21,21,-21
2,1,3,1
1,0,1,1
0,14,14,-14
0,1,1,-1
0,37,37,-37
0,46,46,-46
0,1,1,-1
2,6,8,-4
0,20,20,-20
1,1,2,0
1,7,8,-6
0,14,14,-14
0,9,9,-9
0,6,6,-6
0,6,6,-6
21,0,21,21
15,1,16,14
3,1,4,2
2,4,6,-2
0,3,3,-3
2,1,3,1
1,1,2,0
4,1,5,3
0,2,2,-2
3,15,18,-12
0,13,13,-13
61,3,64,58
5,4,9,1
60,0,60,60
29,14,43,15
15,1,16,14
26,9,35,17
38,5,43,33
5,7,12,-2
26,2,28,24
16,1,17,15
14,1,15,13
14,0,14,14
58,8,66,50
109,0,109,109
11,0,11,11
51,0,51,51
7,14,21,-7
6,8,14,-2
7,4,11,3
18,1,19,17
39,0,39,39
98,11,109,87
38,0,38,38
8,23,31,-15
2,0,2,2
5,1,6,4
10,0,10,10
12,2,14,10
11,0,11,11
23,0,23,23
4,0,4,4
12,18,30,-6
16,3,19,13
12,0,12,12
7,1,8,6
1,12,13,-11
2,1,3,1
57,0,57,57
5,0,5,5
1,1,2,0
8,0,8,8
33,6,39,27
3,1,4,2
1,1,2,0
2,0,2,2
2,0,2,2
2,0,2,2
2,0,2,2
2,0,2,2
5,1,6,4
81,22,103,59
1,1,2,0
6,6,12,0
11,0,11,11
9,0,9,9
24,4,28,20
4,0,4,4
2,4,6,-2
194,18,212,176
164,8,172,156
15,2,17,13
21,9,30,12
24,6,30,18
22,3,25,19
32,6,38,26
26,1,27,25
12,8,20,4
3,0,3,3
3,0,3,3
3,0,3,3
3,0,3,3
3,0,3,3
5,7,12,-2
1,0,1,1
4,0,4,4
5,5,10,0
1,1,2,0
5,5,10,0
1,1,2,0
1,1,2,0
1,1,2,0
4,1,5,3
26,0,26,26
88,19,107,69
21,7,28,14
11,0,11,11
13,13,26,0
5,4,9,1
42,14,56,28
11,0,11,11
0,8,8,-8
4,0,4,4
3,0,3,3
2,0,2,2
5,1,6,4
7,7,14,0
135,0,135,135
4,11,15,-7
23,20,43,3
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
9,7,16,2
6,1,7,5
24,5,29,19
1,1,2,0
16,2,18,14
2,3,5,-1
2,3,5,-1
4,2,6,2
2,3,5,-1
1,1,2,0
