INSERTION,DELETION,SUM,SUBTRACT
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
0,0,0,0
1,1,2,0
2,0,2,2
7,18,25,-11
1,1,2,0
0,0,0,0
1,1,2,0
2,0,2,2
7,18,25,-11
14,0,14,14
3,0,3,3
20,0,20,20
31,0,31,31
8,3,11,5
1,0,1,1
14,0,14,14
3,0,3,3
20,0,20,20
31,0,31,31
8,3,11,5
1,0,1,1
1,1,2,0
1,1,2,0
14,17,31,-3
14,17,31,-3
1,1,2,0
1,1,2,0
1,1,2,0
10,0,10,10
1,1,2,0
1,1,2,0
1,3,4,-2
1,1,2,0
1,0,1,1
65,0,65,65
20,0,20,20
3,0,3,3
89,0,89,89
106,0,106,106
88,0,88,88
26,0,26,26
68,0,68,68
76,0,76,76
97,0,97,97
156,0,156,156
2,0,2,2
196,0,196,196
82,0,82,82
58,0,58,58
97,0,97,97
141,0,141,141
64,0,64,64
222,0,222,222
337,0,337,337
93,0,93,93
164,0,164,164
279,0,279,279
93,0,93,93
180,0,180,180
337,0,337,337
93,0,93,93
117,0,117,117
133,0,133,133
140,0,140,140
128,0,128,128
161,0,161,161
63,0,63,63
282,0,282,282
38,0,38,38
164,0,164,164
276,0,276,276
93,0,93,93
41,0,41,41
1,0,1,1
1,0,1,1
65,0,65,65
20,0,20,20
3,0,3,3
89,0,89,89
106,0,106,106
88,0,88,88
26,0,26,26
68,0,68,68
76,0,76,76
97,0,97,97
156,0,156,156
2,0,2,2
196,0,196,196
82,0,82,82
58,0,58,58
97,0,97,97
141,0,141,141
64,0,64,64
222,0,222,222
337,0,337,337
93,0,93,93
164,0,164,164
279,0,279,279
93,0,93,93
180,0,180,180
337,0,337,337
93,0,93,93
117,0,117,117
133,0,133,133
140,0,140,140
128,0,128,128
161,0,161,161
63,0,63,63
282,0,282,282
38,0,38,38
164,0,164,164
276,0,276,276
93,0,93,93
41,0,41,41
1,0,1,1
1,1,2,0
1,1,2,0
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
9,0,9,9
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
6,4,10,2
6,4,10,2
26,0,26,26
3,8,11,-5
27,0,27,27
0,26,26,-26
10,4,14,6
7,3,10,4
3,0,3,3
4,2,6,2
1,3,4,-2
1,1,2,0
24,0,24,24
0,1,1,-1
36,0,36,36
46,0,46,46
4,25,29,-21
15,41,56,-26
4,26,30,-22
68,0,68,68
7,0,7,7
1,13,14,-12
2,4,6,-2
4,4,8,0
0,68,68,-68
7,0,7,7
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,0,3,3
50,0,50,50
0,29,29,-29
50,0,50,50
0,29,29,-29
22,0,22,22
60,44,104,16
28,19,47,9
29,18,47,11
8,4,12,4
80,67,147,13
29,18,47,11
28,19,47,9
8,4,12,4
11,6,17,5
6,3,9,3
14,10,24,4
2,1,3,1
4,3,7,1
8,4,12,4
14,7,21,7
37,29,66,8
105,74,179,31
19,15,34,4
19,12,31,7
65,44,109,21
61,41,102,20
11,7,18,4
6,3,9,3
48,29,77,19
202,131,333,71
190,119,309,71
22,12,34,10
14,8,22,6
11,8,19,3
37,27,64,10
4,2,6,2
72,40,112,32
162,104,266,58
22,12,34,10
8,4,12,4
13,7,20,6
10,5,15,5
6,3,9,3
2,2,4,0
10,5,15,5
15,7,22,8
39,32,71,7
82,59,141,23
21,16,37,5
15,11,26,4
22,13,35,9
56,36,92,20
14,8,22,6
45,25,70,20
175,113,288,62
22,12,34,10
39,22,61,17
142,94,236,48
22,12,34,10
41,23,64,18
175,113,288,62
22,12,34,10
13,10,23,3
18,15,33,3
15,11,26,4
13,10,23,3
14,8,22,6
11,7,18,4
53,45,98,8
4,2,6,2
39,22,61,17
143,94,237,49
22,12,34,10
8,4,12,4
20,15,35,5
16,11,27,5
14,12,26,2
30,19,49,11
24,17,41,7
8,4,12,4
14,11,25,3
2,1,3,1
2,1,3,1
55,36,91,19
3,3,6,0
2,1,3,1
2,2,4,0
38,26,64,12
9,6,15,3
2,1,3,1
