INSERTION,DELETION,SUM,SUBTRACT
1,1,2,0
10,4,14,6
3,2,5,1
31,1,32,30
1,1,2,0
2,2,4,0
1,1,2,0
1,1,2,0
6,2,8,4
12,4,16,8
5,1,6,4
1,1,2,0
68,0,68,68
2,2,4,0
2,2,4,0
1,1,2,0
1,1,2,0
1,1,2,0
2,1,3,1
2,1,3,1
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
21,3,24,18
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
1,1,2,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
1,1,2,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
1,1,2,0
3,3,6,0
3,3,6,0
3,3,6,0
1,1,2,0
3,3,6,0
3,3,6,0
3,3,6,0
46,57,103,-11
5,5,10,0
11,11,22,0
21,21,42,0
34,30,64,4
3,3,6,0
4,60,64,-56
26,26,52,0
3,3,6,0
7,7,14,0
3,3,6,0
3,3,6,0
59,55,114,4
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
77,77,154,0
3,3,6,0
3,3,6,0
24,3,27,21
3,3,6,0
6,112,118,-106
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
1,1,2,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
3,3,6,0
