NO.,HEAD,CHANGE TYPE,CHANGED STATEMENT,PARENT ENTITY,ROOT ENTITY,SIGNIFICANCE LEVEL
109,e84d6294fdd2a9462072c3564f387fdb51de9e78,STATEMENT_UPDATE,"METHOD_INVOCATION: contentValues.put(MediaStore.Video.Media.IS_PENDING, 1);",ELSE_STATEMENT: (Build.VERSION.SDK_INT < Build.VERSION_CODES.Q),"com.blankj.utilcode.util.ImageUtils.save2Album(Bitmap,CompressFormat,int,boolean)",LOW
109,e84d6294fdd2a9462072c3564f387fdb51de9e78,STATEMENT_UPDATE,"METHOD_INVOCATION: contentValues.put(MediaStore.Video.Media.IS_PENDING, 0);",BODY: ,"com.blankj.utilcode.util.ImageUtils.save2Album(Bitmap,CompressFormat,int,boolean)",LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,DOC_UPDATE,"JAVADOC: /**
 * <pre>
 *     author: Blankj
 *     blog  : http://blankj.com
 *     time  : 2016/09/25
 *     desc  : 剪贴板相关工具类
 * </pre>
 */",CLASS: com.blankj.subutil.util.ClipboardUtils,com.blankj.subutil.util.ClipboardUtils,NONE
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,COMMENT_INSERT,LINE_COMMENT: //noinspection ConstantConditions,METHOD: com.blankj.subutil.util.ClipboardUtils.getText(),com.blankj.utilcode.util.ClipboardUtils.getText(),NONE
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_INSERT,IF_STATEMENT: ((clip != null) && (clip.getItemCount() > 0)),METHOD: com.blankj.subutil.util.ClipboardUtils.getText(),com.blankj.utilcode.util.ClipboardUtils.getText(),LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_INSERT,"RETURN_STATEMENT: "";",METHOD: com.blankj.subutil.util.ClipboardUtils.getText(),com.blankj.utilcode.util.ClipboardUtils.getText(),LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_INSERT,VARIABLE_DECLARATION_STATEMENT: CharSequence text = clip.getItemAt(0).coerceToText(Utils.getApp());,THEN_STATEMENT: ((clip != null) && (clip.getItemCount() > 0)),com.blankj.utilcode.util.ClipboardUtils.getText(),LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_INSERT,IF_STATEMENT: (text != null),THEN_STATEMENT: ((clip != null) && (clip.getItemCount() > 0)),com.blankj.utilcode.util.ClipboardUtils.getText(),LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_INSERT,RETURN_STATEMENT: text;,THEN_STATEMENT: (text != null),com.blankj.utilcode.util.ClipboardUtils.getText(),LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_DELETE,RETURN_STATEMENT: clip.getItemAt(0).coerceToText(Utils.getApp());,THEN_STATEMENT: ((clip != null) && (clip.getItemCount() > 0)),com.blankj.utilcode.util.ClipboardUtils.getText(),MEDIUM
