NO.,HEAD,CHANGE TYPE,CHANGED STATEMENT,PARENT ENTITY,ROOT ENTITY,SIGNIFICANCE LEVEL
2,e9cad5b25083aa97d7951e35bbefb039afba8e6c,ADDITIONAL_FUNCTIONALITY,METHOD: org.greenrobot.eventbus.AbstractEventBusTest.log(String),CLASS: org.greenrobot.eventbus.AbstractEventBusTest,org.greenrobot.eventbus.AbstractEventBusTest,LOW
2,e9cad5b25083aa97d7951e35bbefb039afba8e6c,PARENT_CLASS_CHANGE,SINGLE_TYPE: AbstractAndroidEventBusTest,CLASS: org.greenrobot.eventbus.EventBusBuilderTest,org.greenrobot.eventbus.EventBusBuilderTest,CRUCIAL
2,e9cad5b25083aa97d7951e35bbefb039afba8e6c,STATEMENT_UPDATE,"METHOD_INVOCATION: assertEquals(eventBus, EventBus.getDefault());",BODY: ,org.greenrobot.eventbus.EventBusBuilderTest.testInstallDefaultEventBus(),LOW
2,e9cad5b25083aa97d7951e35bbefb039afba8e6c,PARENT_CLASS_INSERT,SINGLE_TYPE: AbstractEventBusTest,CLASS: org.greenrobot.eventbus.EventBusBasicTest,org.greenrobot.eventbus.EventBusBasicTest,CRUCIAL
2,e9cad5b25083aa97d7951e35bbefb039afba8e6c,DOC_DELETE,"JAVADOC: /**
 * @author Markus Junginger, greenrobot
 */",CLASS: org.greenrobot.eventbus.EventBusBasicTest,org.greenrobot.eventbus.EventBusBasicTest,NONE
2,e9cad5b25083aa97d7951e35bbefb039afba8e6c,STATEMENT_INSERT,VARIABLE_DECLARATION_STATEMENT: StringEventSubscriber stringEventSubscriber = new StringEventSubscriber();,METHOD: org.greenrobot.eventbus.EventBusBasicTest.testRegisterAndPost(),org.greenrobot.eventbus.EventBusBasicTest.testRegisterAndPost(),LOW
2,e9cad5b25083aa97d7951e35bbefb039afba8e6c,STATEMENT_INSERT,METHOD_INVOCATION: eventBus.register(stringEventSubscriber);,METHOD: org.greenrobot.eventbus.EventBusBasicTest.testRegisterAndPost(),org.greenrobot.eventbus.EventBusBasicTest.testRegisterAndPost(),LOW
2,e9cad5b25083aa97d7951e35bbefb039afba8e6c,STATEMENT_DELETE,VARIABLE_DECLARATION_STATEMENT: TestActivity testActivity = new TestActivity();,METHOD: org.greenrobot.eventbus.EventBusBasicTest.testRegisterAndPost(),org.greenrobot.eventbus.EventBusBasicTest.testRegisterAndPost(),MEDIUM
2,e9cad5b25083aa97d7951e35bbefb039afba8e6c,STATEMENT_DELETE,METHOD_INVOCATION: eventBus.register(testActivity);,METHOD: org.greenrobot.eventbus.EventBusBasicTest.testRegisterAndPost(),org.greenrobot.eventbus.EventBusBasicTest.testRegisterAndPost(),MEDIUM
2,e9cad5b25083aa97d7951e35bbefb039afba8e6c,STATEMENT_UPDATE,"METHOD_INVOCATION: Log.d(EventBus.TAG, ((Registered in "" + time) + ""ms""));""",METHOD: org.greenrobot.eventbus.EventBusBasicTest.testRegisterAndPost(),org.greenrobot.eventbus.EventBusBasicTest.testRegisterAndPost(),LOW
2,e9cad5b25083aa97d7951e35bbefb039afba8e6c,STATEMENT_UPDATE,"METHOD_INVOCATION: assertEquals(event, testActivity.lastStringEvent);",METHOD: org.greenrobot.eventbus.EventBusBasicTest.testRegisterAndPost(),org.greenrobot.eventbus.EventBusBasicTest.testRegisterAndPost(),LOW
2,e9cad5b25083aa97d7951e35bbefb039afba8e6c,STATEMENT_UPDATE,"VARIABLE_DECLARATION_STATEMENT: EventBusBasicTest subscriber = new EventBusBasicTest() {
  byte[] expensiveObject = new byte[(1024 * 1024)];
};",FOR_STATEMENT: (i < (heapMBytes * 2)),org.greenrobot.eventbus.EventBusBasicTest.testUnregisterNotLeaking(),LOW
2,e9cad5b25083aa97d7951e35bbefb039afba8e6c,STATEMENT_UPDATE,"METHOD_INVOCATION: Log.d(EventBus.TAG, ((((Posted "" + count) + "" events in "") + time) + ""ms""));""",METHOD: org.greenrobot.eventbus.EventBusBasicTest.testPostMultipleTimes(),org.greenrobot.eventbus.EventBusBasicTest.testPostMultipleTimes(),LOW
2,e9cad5b25083aa97d7951e35bbefb039afba8e6c,REMOVED_FUNCTIONALITY,METHOD: org.greenrobot.eventbus.EventBusBasicTest.setUp(),CLASS: org.greenrobot.eventbus.EventBusBasicTest,org.greenrobot.eventbus.EventBusBasicTest,CRUCIAL
2,e9cad5b25083aa97d7951e35bbefb039afba8e6c,REMOVED_OBJECT_STATE,FIELD: org.greenrobot.eventbus.EventBusBasicTest.eventBus : EventBus,CLASS: org.greenrobot.eventbus.EventBusBasicTest,org.greenrobot.eventbus.EventBusBasicTest,CRUCIAL
2,e9cad5b25083aa97d7951e35bbefb039afba8e6c,REMOVED_OBJECT_STATE,FIELD: org.greenrobot.eventbus.EventBusBasicTest.uiThreadTestRule : UiThreadTestRule,CLASS: org.greenrobot.eventbus.EventBusBasicTest,org.greenrobot.eventbus.EventBusBasicTest,CRUCIAL
2,e9cad5b25083aa97d7951e35bbefb039afba8e6c,ADDITIONAL_CLASS,CLASS: org.greenrobot.eventbus.EventBusBasicTest.StringEventSubscriber,CLASS: org.greenrobot.eventbus.EventBusBasicTest,org.greenrobot.eventbus.EventBusBasicTest,LOW
2,e9cad5b25083aa97d7951e35bbefb039afba8e6c,REMOVED_CLASS,CLASS: org.greenrobot.eventbus.EventBusBasicTest.TestActivity,CLASS: org.greenrobot.eventbus.EventBusBasicTest,org.greenrobot.eventbus.EventBusBasicTest,CRUCIAL
4,38b127c8d060c9ff6d88af3c49e12287f7028e7e,PARENT_CLASS_DELETE,SINGLE_TYPE: TestCase,CLASS: org.greenrobot.eventbus.EventBusInheritanceTest,org.greenrobot.eventbus.EventBusInheritanceTest,CRUCIAL
4,38b127c8d060c9ff6d88af3c49e12287f7028e7e,STATEMENT_DELETE,METHOD_INVOCATION: super.setUp();,METHOD: org.greenrobot.eventbus.EventBusInheritanceTest.setUp(),org.greenrobot.eventbus.EventBusInheritanceTest.setUp(),MEDIUM
4,38b127c8d060c9ff6d88af3c49e12287f7028e7e,INCREASING_ACCESSIBILITY_CHANGE,MODIFIER: protected,MODIFIERS: ,org.greenrobot.eventbus.EventBusInheritanceTest.setUp(),MEDIUM
4,38b127c8d060c9ff6d88af3c49e12287f7028e7e,COMMENT_INSERT,LINE_COMMENT: // TODO ut: remove index of this module once all tests moved to Java module,METHOD: org.greenrobot.eventbus.indexed.Indexed.build(),org.greenrobot.eventbus.indexed.Indexed.build(),NONE
4,38b127c8d060c9ff6d88af3c49e12287f7028e7e,STATEMENT_UPDATE,RETURN_STATEMENT: EventBus.builder().addIndex(new EventBusTestsIndex()).build();,METHOD: org.greenrobot.eventbus.indexed.Indexed.build(),org.greenrobot.eventbus.indexed.Indexed.build(),LOW
4,38b127c8d060c9ff6d88af3c49e12287f7028e7e,DOC_INSERT,JAVADOC: /** Ensures the index is actually used and no reflection fall-back kicks in. */,METHOD: org.greenrobot.eventbus.EventBusIndexTest.testManualIndexWithoutAnnotation(),org.greenrobot.eventbus.EventBusIndexTest.testManualIndexWithoutAnnotation(),NONE
4,38b127c8d060c9ff6d88af3c49e12287f7028e7e,PARENT_CLASS_CHANGE,SINGLE_TYPE: AbstractAndroidEventBusTest,CLASS: org.greenrobot.eventbus.EventBusOrderedSubscriptionsTest,org.greenrobot.eventbus.EventBusOrderedSubscriptionsTest,CRUCIAL
4,38b127c8d060c9ff6d88af3c49e12287f7028e7e,STATEMENT_UPDATE,"METHOD_INVOCATION: Log.d(EventBus.TAG, (((Subscriber "" + prio) + "" got: "") + event));""","METHOD: org.greenrobot.eventbus.EventBusOrderedSubscriptionsTest.PrioSubscriberSticky.handleEvent(int,Object)","org.greenrobot.eventbus.EventBusOrderedSubscriptionsTest.PrioSubscriberSticky.handleEvent(int,Object)",LOW
4,38b127c8d060c9ff6d88af3c49e12287f7028e7e,STATEMENT_UPDATE,"METHOD_INVOCATION: Log.d(EventBus.TAG, (((Subscriber "" + prio) + "" got: "") + event));""","METHOD: org.greenrobot.eventbus.EventBusOrderedSubscriptionsTest.PrioSubscriber.handleEvent(int,Object)","org.greenrobot.eventbus.EventBusOrderedSubscriptionsTest.PrioSubscriber.handleEvent(int,Object)",LOW
5,8ee4073c789ee58a3b4087ac91ac5ee6acdb678c,INCREASING_ACCESSIBILITY_CHANGE,MODIFIER: public,MODIFIERS: ,org.greenrobot.eventbus.EventBusInheritanceTest.SubscriberExtendedWithoutNewSubscriberMethod,MEDIUM
5,8ee4073c789ee58a3b4087ac91ac5ee6acdb678c,INCREASING_ACCESSIBILITY_CHANGE,MODIFIER: public,MODIFIERS: ,org.greenrobot.eventbus.EventBusInheritanceDisabledTest.SubscriberExtendedWithoutNewSubscriberMethod,MEDIUM
6,88f2173a854c275d2b4fd14ed07f0626388a03b0,ADDITIONAL_FUNCTIONALITY,"METHOD: org.greenrobot.eventbus.AbstractEventBusTest.log(String,Throwable)",CLASS: org.greenrobot.eventbus.AbstractEventBusTest,org.greenrobot.eventbus.AbstractEventBusTest,LOW
6,88f2173a854c275d2b4fd14ed07f0626388a03b0,DOC_DELETE,"JAVADOC: /**
 * @author Markus Junginger, greenrobot
 */",CLASS: org.greenrobot.eventbus.EventBusCancelEventDeliveryTest,org.greenrobot.eventbus.EventBusCancelEventDeliveryTest,NONE
6,88f2173a854c275d2b4fd14ed07f0626388a03b0,PARENT_CLASS_CHANGE,SINGLE_TYPE: AbstractAndroidEventBusTest,CLASS: org.greenrobot.eventbus.EventBusCancelEventDeliveryTest,org.greenrobot.eventbus.EventBusCancelEventDeliveryTest,CRUCIAL
6,88f2173a854c275d2b4fd14ed07f0626388a03b0,INCREASING_ACCESSIBILITY_CHANGE,MODIFIER: private,MODIFIERS: ,org.greenrobot.eventbus.EventBusCancelEventDeliveryTest.failed : Throwable,MEDIUM
6,88f2173a854c275d2b4fd14ed07f0626388a03b0,REMOVED_FUNCTIONALITY,METHOD: org.greenrobot.eventbus.EventBusCancelEventDeliveryTest.testCancelInMainThread(),CLASS: org.greenrobot.eventbus.EventBusCancelEventDeliveryTest,org.greenrobot.eventbus.EventBusCancelEventDeliveryTest,CRUCIAL
7,a10111767ebd9f6b268c54a8d11551bdeb3d5ef1,STATEMENT_UPDATE,"METHOD_INVOCATION: assertTrue(eventBus.toString().contains(indexCount=1""));""",METHOD: org.greenrobot.eventbus.indexed.EventBusBasicTestWithIndex.testIndex(),org.greenrobot.eventbus.indexed.EventBusBasicTestWithIndex.testIndex(),LOW
7,a10111767ebd9f6b268c54a8d11551bdeb3d5ef1,STATEMENT_UPDATE,"METHOD_INVOCATION: assertTrue(eventBus.toString().contains(indexCount=1""));""",METHOD: org.greenrobot.eventbus.indexed.EventBusBackgroundThreadTestWithIndex.testIndex(),org.greenrobot.eventbus.indexed.EventBusBackgroundThreadTestWithIndex.testIndex(),LOW
7,a10111767ebd9f6b268c54a8d11551bdeb3d5ef1,DOC_DELETE,"JAVADOC: /**
 * @author Markus Junginger, greenrobot
 */",CLASS: org.greenrobot.eventbus.EventBusMultithreadedTest,org.greenrobot.eventbus.EventBusMultithreadedTest,NONE
7,a10111767ebd9f6b268c54a8d11551bdeb3d5ef1,PARENT_CLASS_CHANGE,SINGLE_TYPE: AbstractAndroidEventBusTest,CLASS: org.greenrobot.eventbus.EventBusMultithreadedTest,org.greenrobot.eventbus.EventBusMultithreadedTest,CRUCIAL
7,a10111767ebd9f6b268c54a8d11551bdeb3d5ef1,INCREASING_ACCESSIBILITY_CHANGE,MODIFIER: private,MODIFIERS: ,org.greenrobot.eventbus.EventBusMultithreadedTest.lastStringEvent : String,MEDIUM
7,a10111767ebd9f6b268c54a8d11551bdeb3d5ef1,INCREASING_ACCESSIBILITY_CHANGE,MODIFIER: private,MODIFIERS: ,org.greenrobot.eventbus.EventBusMultithreadedTest.COUNT : int,MEDIUM
7,a10111767ebd9f6b268c54a8d11551bdeb3d5ef1,INCREASING_ACCESSIBILITY_CHANGE,MODIFIER: private,MODIFIERS: ,org.greenrobot.eventbus.EventBusMultithreadedTest.countStringEvent : AtomicInteger,MEDIUM
7,a10111767ebd9f6b268c54a8d11551bdeb3d5ef1,INCREASING_ACCESSIBILITY_CHANGE,MODIFIER: private,MODIFIERS: ,org.greenrobot.eventbus.EventBusMultithreadedTest.countIntTestEvent : AtomicInteger,MEDIUM
7,a10111767ebd9f6b268c54a8d11551bdeb3d5ef1,INCREASING_ACCESSIBILITY_CHANGE,MODIFIER: private,MODIFIERS: ,org.greenrobot.eventbus.EventBusMultithreadedTest.countObjectEvent : AtomicInteger,MEDIUM
