NO.,HEAD,CHANGE TYPE,CHANGED STATEMENT,PARENT ENTITY,ROOT ENTITY,SIGNIFICANCE LEVEL
2,de32331879215caef704526e28819c39f7dde9e7,STATEMENT_UPDATE,"METHOD_INVOCATION: uncheckedSet(field, target, null);",METHOD: butterknife.FieldUnbinder.unbind(),butterknife.FieldUnbinder.unbind(),LOW
3,367807ffd93058f3a253cf433462faf9dcaed0a5,REMOVED_FUNCTIONALITY,METHOD: butterknife.internal.UtilsTest.finderThrowsLessNiceErrorInEditMode(),CLASS: butterknife.internal.UtilsTest,butterknife.internal.UtilsTest,CRUCIAL
3,367807ffd93058f3a253cf433462faf9dcaed0a5,REMOVED_FUNCTIONALITY,METHOD: butterknife.internal.UtilsTest.finderThrowsNiceError(),CLASS: butterknife.internal.UtilsTest,butterknife.internal.UtilsTest,CRUCIAL
3,367807ffd93058f3a253cf433462faf9dcaed0a5,REMOVED_CLASS,CLASS: butterknife.internal.UtilsTest.EditModeView,CLASS: butterknife.internal.UtilsTest,butterknife.internal.UtilsTest,HIGH
13,e32dca326a95894e3d6d8c4fcdf68590a4177eba,STATEMENT_INSERT,VARIABLE_DECLARATION_STATEMENT: Button button1 = new Button(context);,METHOD: com.example.butterknife.unbinder.UnbinderTest.verifyContentViewBinding(),com.example.butterknife.unbinder.UnbinderTest.verifyContentViewBinding(),LOW
13,e32dca326a95894e3d6d8c4fcdf68590a4177eba,STATEMENT_INSERT,VARIABLE_DECLARATION_STATEMENT: Button button2 = new Button(context);,METHOD: com.example.butterknife.unbinder.UnbinderTest.verifyContentViewBinding(),com.example.butterknife.unbinder.UnbinderTest.verifyContentViewBinding(),LOW
13,e32dca326a95894e3d6d8c4fcdf68590a4177eba,STATEMENT_INSERT,VARIABLE_DECLARATION_STATEMENT: Button button3 = new Button(context);,METHOD: com.example.butterknife.unbinder.UnbinderTest.verifyContentViewBinding(),com.example.butterknife.unbinder.UnbinderTest.verifyContentViewBinding(),LOW
13,e32dca326a95894e3d6d8c4fcdf68590a4177eba,STATEMENT_INSERT,VARIABLE_DECLARATION_STATEMENT: View content = new View(context);,METHOD: com.example.butterknife.unbinder.UnbinderTest.verifyContentViewBinding(),com.example.butterknife.unbinder.UnbinderTest.verifyContentViewBinding(),LOW
13,e32dca326a95894e3d6d8c4fcdf68590a4177eba,STATEMENT_DELETE,VARIABLE_DECLARATION_STATEMENT: Button button1 = new Button(RuntimeEnvironment.application);,METHOD: com.example.butterknife.unbinder.UnbinderTest.verifyContentViewBinding(),com.example.butterknife.unbinder.UnbinderTest.verifyContentViewBinding(),MEDIUM
13,e32dca326a95894e3d6d8c4fcdf68590a4177eba,STATEMENT_DELETE,VARIABLE_DECLARATION_STATEMENT: Button button2 = new Button(RuntimeEnvironment.application);,METHOD: com.example.butterknife.unbinder.UnbinderTest.verifyContentViewBinding(),com.example.butterknife.unbinder.UnbinderTest.verifyContentViewBinding(),MEDIUM
