NO.,HEAD,CHANGE TYPE,CHANGED STATEMENT,PARENT ENTITY,ROOT ENTITY,SIGNIFICANCE LEVEL
753,0b050fb03e7df0cddd02c2c596d473cb3d2cd282,ADDITIONAL_FUNCTIONALITY,"METHOD: com.facebook.fresco.vito.view.VitoView.show(Uri,Object,View)",CLASS: com.facebook.fresco.vito.view.VitoView,com.facebook.fresco.vito.view.VitoView,LOW
753,0b050fb03e7df0cddd02c2c596d473cb3d2cd282,ADDITIONAL_FUNCTIONALITY,"METHOD: com.facebook.fresco.vito.view.VitoView.show(ImageSource,Object,View)",CLASS: com.facebook.fresco.vito.view.VitoView,com.facebook.fresco.vito.view.VitoView,LOW
754,fa9f763f932ecc60c3403f38cf90e7d1efda7b15,PARAMETER_TYPE_CHANGE,SINGLE_TYPE: isPlaying: Boolean,PARAMETER: isPlaying,"com.facebook.fresco.vito.litho.slideshow.FrescoVitoSlideshowComponentSpec.onMount(ComponentContext,FrescoVitoSlideshowDrawable,List<Uri>,int,int,boolean,ImageOptions,Object,Integer,Timer,Boolean)",HIGH
754,fa9f763f932ecc60c3403f38cf90e7d1efda7b15,ADDITIONAL_OBJECT_STATE,FIELD: com.facebook.fresco.vito.litho.slideshow.FrescoVitoSlideshowComponentSpec.isPlaying : boolean,CLASS: com.facebook.fresco.vito.litho.slideshow.FrescoVitoSlideshowComponentSpec,com.facebook.fresco.vito.litho.slideshow.FrescoVitoSlideshowComponentSpec,LOW
755,6fb7eb63668360a5f56f8a0c82024dfe4b2da548,STATEMENT_UPDATE,METHOD_INVOCATION: NativeLoader.init(new SystemDelegate());,CATCH_CLAUSE: ClassNotFoundException,"com.facebook.drawee.backends.pipeline.Fresco.initialize(Context,ImagePipelineConfig,DraweeConfig,boolean)",LOW
755,6fb7eb63668360a5f56f8a0c82024dfe4b2da548,STATEMENT_UPDATE,METHOD_INVOCATION: NativeLoader.init(new SystemDelegate());,CATCH_CLAUSE: IllegalAccessException,"com.facebook.drawee.backends.pipeline.Fresco.initialize(Context,ImagePipelineConfig,DraweeConfig,boolean)",LOW
755,6fb7eb63668360a5f56f8a0c82024dfe4b2da548,STATEMENT_UPDATE,METHOD_INVOCATION: NativeLoader.init(new SystemDelegate());,CATCH_CLAUSE: InvocationTargetException,"com.facebook.drawee.backends.pipeline.Fresco.initialize(Context,ImagePipelineConfig,DraweeConfig,boolean)",LOW
755,6fb7eb63668360a5f56f8a0c82024dfe4b2da548,STATEMENT_UPDATE,METHOD_INVOCATION: NativeLoader.init(new SystemDelegate());,CATCH_CLAUSE: NoSuchMethodException,"com.facebook.drawee.backends.pipeline.Fresco.initialize(Context,ImagePipelineConfig,DraweeConfig,boolean)",LOW
755,6fb7eb63668360a5f56f8a0c82024dfe4b2da548,ADDITIONAL_FUNCTIONALITY,METHOD: com.facebook.drawee.backends.pipeline.Fresco.initializeNativeLoaderWithSystemDelegate(),CLASS: com.facebook.drawee.backends.pipeline.Fresco,com.facebook.drawee.backends.pipeline.Fresco,LOW
763,528f6919c80a9a4fb03dc584c4aeea8951c008ce,STATEMENT_UPDATE,METHOD_INVOCATION: initializeNativeLoaderWithSystemDelegate();,CATCH_CLAUSE: ClassNotFoundException,"com.facebook.drawee.backends.pipeline.Fresco.initialize(Context,ImagePipelineConfig,DraweeConfig,boolean)",LOW
763,528f6919c80a9a4fb03dc584c4aeea8951c008ce,STATEMENT_UPDATE,METHOD_INVOCATION: initializeNativeLoaderWithSystemDelegate();,CATCH_CLAUSE: IllegalAccessException,"com.facebook.drawee.backends.pipeline.Fresco.initialize(Context,ImagePipelineConfig,DraweeConfig,boolean)",LOW
