NO.,HEAD,CHANGE TYPE,CHANGED STATEMENT,PARENT ENTITY,ROOT ENTITY,SIGNIFICANCE LEVEL
5,a0f3d300d556cf83cf6a2a5dee737b89c862770d,STATEMENT_UPDATE,VARIABLE_DECLARATION_STATEMENT: BitmapEncoder encoder = new BitmapEncoder();,METHOD: com.bumptech.glide.load.resource.bitmap.BitmapEncoderTest.EncoderHarness.encode(),com.bumptech.glide.load.resource.bitmap.BitmapEncoderTest.EncoderHarness.encode(),LOW
5,a0f3d300d556cf83cf6a2a5dee737b89c862770d,ADDITIONAL_OBJECT_STATE,FIELD: com.bumptech.glide.load.resource.bitmap.BitmapEncoderTest.EncoderHarness.arrayPool : ArrayPool,CLASS: com.bumptech.glide.load.resource.bitmap.BitmapEncoderTest.EncoderHarness,com.bumptech.glide.load.resource.bitmap.BitmapEncoderTest.EncoderHarness,LOW
5,a0f3d300d556cf83cf6a2a5dee737b89c862770d,STATEMENT_UPDATE,VARIABLE_DECLARATION_STATEMENT: BitmapEncoder encoder = new BitmapEncoder();,METHOD: com.bumptech.glide.load.resource.bitmap.BitmapEncoderTest.testReturnsTrueFromWrite(),com.bumptech.glide.load.resource.bitmap.BitmapEncoderTest.testReturnsTrueFromWrite(),LOW
5,a0f3d300d556cf83cf6a2a5dee737b89c862770d,STATEMENT_UPDATE,VARIABLE_DECLARATION_STATEMENT: BitmapEncoder encoder = new BitmapEncoder();,METHOD: com.bumptech.glide.load.resource.bitmap.BitmapEncoderTest.testEncodeStrategy_alwaysReturnsTransformed(),com.bumptech.glide.load.resource.bitmap.BitmapEncoderTest.testEncodeStrategy_alwaysReturnsTransformed(),LOW
5,a0f3d300d556cf83cf6a2a5dee737b89c862770d,STATEMENT_INSERT,IF_STATEMENT: (arrayPool != null),BODY: ,"com.bumptech.glide.load.resource.bitmap.BitmapEncoder.encode(Resource<Bitmap>,File,Options)",LOW
5,a0f3d300d556cf83cf6a2a5dee737b89c862770d,STATEMENT_INSERT,"ASSIGNMENT: os = new BufferedOutputStream(os, arrayPool);",THEN_STATEMENT: (arrayPool != null),"com.bumptech.glide.load.resource.bitmap.BitmapEncoder.encode(Resource<Bitmap>,File,Options)",LOW
5,a0f3d300d556cf83cf6a2a5dee737b89c862770d,STATEMENT_INSERT,ASSIGNMENT: arrayPool = null;,METHOD: com.bumptech.glide.load.resource.bitmap.BitmapEncoder.BitmapEncoder(),com.bumptech.glide.load.resource.bitmap.BitmapEncoder.BitmapEncoder(),LOW
5,a0f3d300d556cf83cf6a2a5dee737b89c862770d,DOC_INSERT,"JAVADOC: /**
   * @deprecated Use {@link #BitmapEncoder(ArrayPool)} instead.
   */",METHOD: com.bumptech.glide.load.resource.bitmap.BitmapEncoder.BitmapEncoder(),com.bumptech.glide.load.resource.bitmap.BitmapEncoder.BitmapEncoder(),NONE
5,a0f3d300d556cf83cf6a2a5dee737b89c862770d,INCREASING_ACCESSIBILITY_CHANGE,MODIFIER: public,MODIFIERS: ,com.bumptech.glide.load.resource.bitmap.BitmapEncoder.BitmapEncoder(),MEDIUM
5,a0f3d300d556cf83cf6a2a5dee737b89c862770d,ADDITIONAL_FUNCTIONALITY,METHOD: com.bumptech.glide.load.resource.bitmap.BitmapEncoder.BitmapEncoder(ArrayPool),CLASS: com.bumptech.glide.load.resource.bitmap.BitmapEncoder,com.bumptech.glide.load.resource.bitmap.BitmapEncoder,LOW
5,a0f3d300d556cf83cf6a2a5dee737b89c862770d,ADDITIONAL_OBJECT_STATE,FIELD: com.bumptech.glide.load.resource.bitmap.BitmapEncoder.arrayPool : ArrayPool,CLASS: com.bumptech.glide.load.resource.bitmap.BitmapEncoder,com.bumptech.glide.load.resource.bitmap.BitmapEncoder,LOW
6,860f7d041dd00e6032d71ff8483ac2a9d30441ec,STATEMENT_DELETE,"VARIABLE_DECLARATION_STATEMENT: TypeElement androidNonNullType = elementUtils.getTypeElement(android.support.annotation.NonNull"");""","METHOD: com.bumptech.glide.annotation.compiler.RequestManagerGenerator.generateOverrideSetRequestOptions(String,TypeSpec)","com.bumptech.glide.annotation.compiler.RequestManagerGenerator.generateOverrideSetRequestOptions(String,TypeSpec)",MEDIUM
6,860f7d041dd00e6032d71ff8483ac2a9d30441ec,STATEMENT_UPDATE,"RETURN_STATEMENT: ProcessorUtil.overriding(method).returns(generatedRequestManagerName).addCode(ProcessorUtil.generateCastingSuperCall(generatedRequestManagerName, method)).build();","METHOD: com.bumptech.glide.annotation.compiler.RequestManagerGenerator.generateRequestManagerRequestManagerMethodOverride(String,ExecutableElement)","com.bumptech.glide.annotation.compiler.RequestManagerGenerator.generateRequestManagerRequestManagerMethodOverride(String,ExecutableElement)",LOW
