NO.,HEAD,CHANGE TYPE,CHANGED STATEMENT,PARENT ENTITY,ROOT ENTITY,SIGNIFICANCE LEVEL
1,ccc239f85a4a0b3620148c54df1c55cb2db71d53,STATEMENT_DELETE,"METHOD_INVOCATION: assertThat(binaryIterationOrder(BIN_ADAPTER.breadthFirstTraversal(bd))).isEqualTo(dbeacfg"");""",METHOD: com.google.common.collect.TreeTraverserTest.testBreadthOrder(),com.google.common.collect.TreeTraverserTest.testBreadthOrder(),MEDIUM
1,ccc239f85a4a0b3620148c54df1c55cb2db71d53,STATEMENT_DELETE,"METHOD_INVOCATION: assertThat(binaryIterationOrder(BIN_ADAPTER.preOrderTraversal(bd))).isEqualTo(dbacefg"");""",METHOD: com.google.common.collect.TreeTraverserTest.testPreOrder(),com.google.common.collect.TreeTraverserTest.testPreOrder(),MEDIUM
1,ccc239f85a4a0b3620148c54df1c55cb2db71d53,STATEMENT_DELETE,METHOD_INVOCATION: tester.testAllPublicInstanceMethods(BIN_ADAPTER);,METHOD: com.google.common.collect.TreeTraverserTest.testNulls(),com.google.common.collect.TreeTraverserTest.testNulls(),MEDIUM
1,ccc239f85a4a0b3620148c54df1c55cb2db71d53,STATEMENT_DELETE,"METHOD_INVOCATION: assertThat(binaryIterationOrder(BIN_ADAPTER.postOrderTraversal(bd))).isEqualTo(acbgfed"");""",METHOD: com.google.common.collect.TreeTraverserTest.testPostOrder(),com.google.common.collect.TreeTraverserTest.testPostOrder(),MEDIUM
1,ccc239f85a4a0b3620148c54df1c55cb2db71d53,PARENT_CLASS_INSERT,SINGLE_TYPE: Node,CLASS: com.google.common.collect.TreeTraverserTest.Tree,com.google.common.collect.TreeTraverserTest.Tree,CRUCIAL
1,ccc239f85a4a0b3620148c54df1c55cb2db71d53,STATEMENT_DELETE,ASSIGNMENT: this.value = value;,"METHOD: com.google.common.collect.TreeTraverserTest.Tree.Tree(char,Tree...)","com.google.common.collect.TreeTraverserTest.Tree.Tree(char,Tree...)",MEDIUM
1,ccc239f85a4a0b3620148c54df1c55cb2db71d53,STATEMENT_UPDATE,CONSTRUCTOR_INVOCATION: super();,"METHOD: com.google.common.collect.TreeTraverserTest.Tree.Tree(char,Tree...)","com.google.common.collect.TreeTraverserTest.Tree.Tree(char,Tree...)",LOW
1,ccc239f85a4a0b3620148c54df1c55cb2db71d53,REMOVED_OBJECT_STATE,FIELD: com.google.common.collect.TreeTraverserTest.Tree.value : char,CLASS: com.google.common.collect.TreeTraverserTest.Tree,com.google.common.collect.TreeTraverserTest.Tree,HIGH
1,ccc239f85a4a0b3620148c54df1c55cb2db71d53,PARAMETER_TYPE_CHANGE,PARAMETERIZED_TYPE: iterable: Iterable<Tree>,PARAMETER: iterable,com.google.common.collect.TreeTraverserTest.iterationOrder(Iterable<? extends Node>),HIGH
1,ccc239f85a4a0b3620148c54df1c55cb2db71d53,CONDITION_EXPRESSION_CHANGE,FOREACH_STATEMENT: Tree t:iterable,METHOD: com.google.common.collect.TreeTraverserTest.iterationOrder(Iterable<Tree>),com.google.common.collect.TreeTraverserTest.iterationOrder(Iterable<? extends Node>),MEDIUM
1,ccc239f85a4a0b3620148c54df1c55cb2db71d53,REMOVED_FUNCTIONALITY,METHOD: com.google.common.collect.TreeTraverserTest.binaryIterationOrder(Iterable<BinaryTree>),CLASS: com.google.common.collect.TreeTraverserTest,com.google.common.collect.TreeTraverserTest,HIGH
1,ccc239f85a4a0b3620148c54df1c55cb2db71d53,REMOVED_FUNCTIONALITY,METHOD: com.google.common.collect.TreeTraverserTest.testInOrder(),CLASS: com.google.common.collect.TreeTraverserTest,com.google.common.collect.TreeTraverserTest,CRUCIAL
1,ccc239f85a4a0b3620148c54df1c55cb2db71d53,REMOVED_OBJECT_STATE,FIELD: com.google.common.collect.TreeTraverserTest.BIN_ADAPTER : BinaryTreeTraverser<BinaryTree>,CLASS: com.google.common.collect.TreeTraverserTest,com.google.common.collect.TreeTraverserTest,HIGH
1,ccc239f85a4a0b3620148c54df1c55cb2db71d53,REMOVED_OBJECT_STATE,FIELD: com.google.common.collect.TreeTraverserTest.bg : BinaryTree,CLASS: com.google.common.collect.TreeTraverserTest,com.google.common.collect.TreeTraverserTest,HIGH
