NO.,HEAD,CHANGE TYPE,CHANGED STATEMENT,PARENT ENTITY,ROOT ENTITY,SIGNIFICANCE LEVEL
2,df4d768e234556636bae4aecfa7ad3b145b06984,STATEMENT_INSERT,IF_STATEMENT: (fragment == null),"METHOD: com.google.zxing.integration.android.IntentIntegrator.startActivityForResult(Intent,int)","com.google.zxing.integration.android.IntentIntegrator.startActivityForResult(Intent,int)",LOW
2,df4d768e234556636bae4aecfa7ad3b145b06984,ALTERNATIVE_PART_INSERT,ELSE_STATEMENT: (fragment == null),IF_STATEMENT: (fragment == null),"com.google.zxing.integration.android.IntentIntegrator.startActivityForResult(Intent,int)",MEDIUM
2,df4d768e234556636bae4aecfa7ad3b145b06984,STATEMENT_INSERT,"METHOD_INVOCATION: fragment.startActivityForResult(intent, code);",ELSE_STATEMENT: (fragment == null),"com.google.zxing.integration.android.IntentIntegrator.startActivityForResult(Intent,int)",LOW
2,df4d768e234556636bae4aecfa7ad3b145b06984,STATEMENT_PARENT_CHANGE,"METHOD_INVOCATION: activity.startActivityForResult(intent, code);","METHOD: com.google.zxing.integration.android.IntentIntegrator.startActivityForResult(Intent,int)","com.google.zxing.integration.android.IntentIntegrator.startActivityForResult(Intent,int)",MEDIUM
2,df4d768e234556636bae4aecfa7ad3b145b06984,STATEMENT_INSERT,IF_STATEMENT: (fragment == null),"METHOD: com.google.zxing.integration.android.IntentIntegrator.shareText(CharSequence,CharSequence)","com.google.zxing.integration.android.IntentIntegrator.shareText(CharSequence,CharSequence)",LOW
2,df4d768e234556636bae4aecfa7ad3b145b06984,ALTERNATIVE_PART_INSERT,ELSE_STATEMENT: (fragment == null),IF_STATEMENT: (fragment == null),"com.google.zxing.integration.android.IntentIntegrator.shareText(CharSequence,CharSequence)",MEDIUM
2,df4d768e234556636bae4aecfa7ad3b145b06984,STATEMENT_INSERT,METHOD_INVOCATION: fragment.startActivity(intent);,ELSE_STATEMENT: (fragment == null),"com.google.zxing.integration.android.IntentIntegrator.shareText(CharSequence,CharSequence)",LOW
2,df4d768e234556636bae4aecfa7ad3b145b06984,STATEMENT_PARENT_CHANGE,METHOD_INVOCATION: activity.startActivity(intent);,"METHOD: com.google.zxing.integration.android.IntentIntegrator.shareText(CharSequence,CharSequence)","com.google.zxing.integration.android.IntentIntegrator.shareText(CharSequence,CharSequence)",MEDIUM
2,df4d768e234556636bae4aecfa7ad3b145b06984,STATEMENT_INSERT,ASSIGNMENT: this.fragment = null;,METHOD: com.google.zxing.integration.android.IntentIntegrator.IntentIntegrator(Activity),com.google.zxing.integration.android.IntentIntegrator.IntentIntegrator(Activity),LOW
2,df4d768e234556636bae4aecfa7ad3b145b06984,STATEMENT_INSERT,METHOD_INVOCATION: initializeConfiguration();,METHOD: com.google.zxing.integration.android.IntentIntegrator.IntentIntegrator(Activity),com.google.zxing.integration.android.IntentIntegrator.IntentIntegrator(Activity),LOW
2,df4d768e234556636bae4aecfa7ad3b145b06984,STATEMENT_DELETE,ASSIGNMENT: title = DEFAULT_TITLE;,METHOD: com.google.zxing.integration.android.IntentIntegrator.IntentIntegrator(Activity),com.google.zxing.integration.android.IntentIntegrator.IntentIntegrator(Activity),MEDIUM
